<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,5,20170317,113000,158.6800000,158.8500000,158.5500000,158.6200000,257830
SBER,5,20170317,113500,158.5600000,158.7100000,158.4300000,158.6100000,224730
SBER,5,20170317,114000,158.6100000,158.7000000,158.4700000,158.6100000,121150
SBER,5,20170317,114500,158.6100000,158.7300000,158.4700000,158.5500000,103850
SBER,5,20170317,115000,158.4800000,158.6200000,158.4700000,158.5900000,55620
SBER,5,20170317,115500,158.5400000,158.6000000,158.5300000,158.5700000,107460
SBER,5,20170317,120000,158.5500000,158.7000000,158.5500000,158.5700000,289470
SBER,5,20170317,120500,158.6000000,158.7700000,158.4500000,158.7600000,497450
SBER,5,20170317,121000,158.7600000,159.1000000,158.7100000,158.8100000,1205980
SBER,5,20170317,121500,158.8200000,158.9000000,158.7000000,158.8900000,214040
SBER,5,20170317,122000,158.9000000,159.0000000,158.8400000,159.0000000,792410
SBER,5,20170317,122500,159.0000000,159.0000000,158.9000000,158.9700000,93990
SBER,5,20170317,123000,158.9800000,159.0400000,158.8800000,158.9400000,461600
SBER,5,20170317,123500,158.9400000,159.6000000,158.9400000,159.4900000,1848220
SBER,5,20170317,124000,159.5000000,160.5800000,159.5000000,160.2700000,2486410
SBER,5,20170317,124500,160.3000000,161.1700000,160.2300000,161.1200000,2027150
SBER,5,20170317,125000,161.1200000,161.7500000,161.1100000,161.5000000,2165110
SBER,5,20170317,125500,161.5200000,162.3000000,161.3900000,162.2100000,3102860
SBER,5,20170317,130000,162.2000000,162.2300000,161.7400000,161.9000000,736800
SBER,5,20170317,130500,161.8900000,162.0400000,161.5400000,161.5700000,1322240
SBER,5,20170317,131000,161.6100000,161.7900000,161.5500000,161.5600000,517960
SBER,5,20170317,131500,161.5900000,161.9000000,161.5000000,161.8000000,706580
SBER,5,20170317,132000,161.8000000,161.8700000,161.6000000,161.6100000,197440
SBER,5,20170317,132500,161.6500000,161.6900000,161.6000000,161.6400000,151370
SBER,5,20170317,133000,161.6400000,161.7300000,161.6000000,161.6400000,120100
SBER,5,20170317,133500,161.6800000,161.7600000,161.3500000,161.4500000,740320
SBER,5,20170317,134000,161.4600000,161.8000000,161.3000000,161.7500000,576960
SBER,5,20170317,134500,161.7500000,161.8000000,161.5200000,161.5500000,151700
SBER,5,20170317,135000,161.5800000,161.5800000,161.2500000,161.3300000,243760
SBER,5,20170317,135500,161.3300000,161.4700000,161.1500000,161.3600000,452380
